z,Repr,Seeds,Surv,z1,age,alive,yr
-0.9151806344358139,0,,0.0,,0,False,1
-0.6292316881897877,0,,0.0,,0,False,1
-0.6721493857224151,0,,0.0,,0,False,1
0.12057307725971943,0,,0.0,,0,False,1
-0.26911098663588057,0,,0.0,,0,False,1
0.014381422145406258,0,,1.0,1.014685064623187,0,True,1
0.5559937944316758,0,,0.0,,0,False,1
0.5672514260782131,0,,0.0,,0,False,1
0.27794718174977107,0,,1.0,0.6144773171872704,0,True,1
-0.4219349297071408,0,,0.0,,0,False,1
-0.6518374149565637,0,,0.0,,0,False,1
-0.6970991646102686,0,,0.0,,0,False,1
-0.3411240508500139,0,,1.0,0.3907968310816613,0,True,1
-0.12005664960429029,0,,0.0,,0,False,1
-0.8161151695196466,0,,0.0,,0,False,1
-0.9387247068635614,0,,0.0,,0,False,1
0.1498467127528738,0,,0.0,,0,False,1
-1.4808192954423105,0,,0.0,,0,False,1
-0.2150470506337185,0,,1.0,0.1482125867667072,0,True,1
0.24063989738153163,0,,0.0,,0,False,1
-0.8260031612686786,0,,0.0,,0,False,1
-0.9224486588865207,0,,0.0,,0,False,1
-0.6561410431880421,0,,1.0,1.515301929471857,0,True,1
0.4085892188056393,0,,0.0,,0,False,1
-0.17935413057405347,0,,0.0,,0,False,1
-1.4943582554043877,0,,0.0,,0,False,1
-0.40120987660351926,0,,0.0,,0,False,1
0.6851341683838161,0,,0.0,,0,False,1
0.6623214791852667,0,,1.0,1.7604966185849242,0,True,1
0.39499702021969585,0,,0.0,,0,False,1
-0.2611579775151232,0,,1.0,-0.031210958245095132,0,True,1
-1.4757209626194245,0,,0.0,,0,False,1
0.046954585890213486,0,,0.0,,0,False,1
-0.2142339482982792,0,,0.0,,0,False,1
-0.023171674369522853,0,,0.0,,0,False,1
1.0845314684625837,0,,1.0,2.203394108206897,0,True,1
0.05761647896947034,0,,0.0,,0,False,1
0.12764629863468932,0,,1.0,1.4126864070926506,0,True,1
0.37614271749124123,0,,0.0,,0,False,1
-0.2751488601330039,0,,0.0,,0,False,1
-0.5833754779385115,0,,1.0,-0.4164249486412148,0,True,1
-0.6385652457628157,0,,0.0,,0,False,1
