z,Surv,z1,Repr,Sex,Recr,Rcsz,yr
1.7784582439370853,0,,,,,,161
1.7988233491209495,1,2.492344979769615,0.0,,,,161
1.8457297650041835,0,,,,,,161
1.8674726694727284,0,,,,,,161
1.9392236517897183,0,,,,,,161
1.966928351098425,0,,,,,,161
1.982903166968222,0,,,,,,161
1.9903437091047769,0,,,,,,161
2.0043056285242224,0,,,,,,161
2.0240657187388282,0,,,,,,161
2.026412500952539,0,,,,,,161
2.031021634128997,0,,,,,,161
2.037610143027126,0,,,,,,161
2.0385198866066183,0,,,,,,161
2.0392363168626724,0,,,,,,161
2.0607855465114535,0,,,,,,161
2.0638811670193213,1,2.5456082743813786,0.0,,,,161
2.06607135267133,0,,,,,,161
2.0736578560541394,0,,,,,,161
2.0744815605690747,1,2.448564373138183,0.0,,,,161
2.091260005406599,0,,,,,,161
2.092622569328893,1,2.5623449592748493,0.0,,,,161
2.093358311877448,0,,,,,,161
2.095975351750581,0,,,,,,161
2.1069797269155197,0,,,,,,161
2.1108016510057923,0,,,,,,161
2.115366644959173,1,2.5451009537410627,0.0,,,,161
2.1328463866943954,0,,,,,,161
2.1389513271219696,0,,,,,,161
2.1506085140699045,0,,,,,,161
2.1627049390229653,0,,,,,,161
2.1633636773871263,1,2.482961701157447,1.0,1.0,1.0,2.0967720887865555,161
2.1641649626113457,1,2.5738590876799012,0.0,,,,161
2.165573644142883,0,,,,,,161
2.170812681036724,0,,,,,,161
2.174864553450354,0,,,,,,161
2.1750292177849255,0,,,,,,161
2.1770986829965464,0,,,,,,161
2.1796157258198186,0,,,,,,161
2.1844971575589986,0,,,,,,161
2.18631213261975,0,,,,,,161
2.1867529615252077,1,2.763881482453852,1.0,0.0,,,161
2.189220966588941,0,,,,,,161
2.196356535098633,0,,,,,,161
2.1965151793318234,0,,,,,,161
2.1976722226198864,0,,,,,,161
2.214185945391364,0,,,,,,161
2.216536316221774,0,,,,,,161
2.218083638435955,0,,,,,,161
2.2229603973067658,1,2.685257241327152,0.0,,,,161
2.2230997119429556,0,,,,,,161
2.234561366592534,0,,,,,,161
2.235014801337062,0,,,,,,161
