z,Surv,z1,Repr,Sex,Recr,Rcsz,yr
2.7804589368233517,1,2.8357319673797754,0.0,,,,1
2.5362788926528346,1,2.823961437107085,0.0,,,,1
2.523844919734395,0,,,,,,1
2.629381574532991,1,2.914227228883291,0.0,,,,1
2.5784380360228845,0,,,,,,1
2.498871173233666,1,2.8604998565292847,1.0,1.0,0.0,,1
2.447472122896492,1,2.889978302364413,1.0,1.0,1.0,1.8812628629104347,1
2.7727999629149247,0,,,,,,1
2.5152697218749482,1,2.7720663939447254,0.0,,,,1
2.601803991993805,1,2.9038190539707798,1.0,1.0,1.0,1.9398134683877102,1
2.5971785986377376,1,2.65744337374785,0.0,,,,1
2.62666552191513,1,2.8136220758618844,0.0,,,,1
2.649993455130289,0,,,,,,1
2.648576464551185,1,2.8883350559624446,1.0,1.0,1.0,1.8204060673231348,1
2.779340534596757,1,3.042843612079206,0.0,,,,1
2.7329957417436765,1,2.9675937621946633,1.0,0.0,,,1
2.705340568999466,0,,,,,,1
2.55759163336006,0,,,,,,1
2.8560629971057603,1,3.1272196598329485,1.0,1.0,1.0,2.7850166293448155,1
2.721460532890822,1,3.054980241113263,1.0,1.0,1.0,2.2992316014562517,1
2.587015857645096,1,2.8313499255331753,0.0,,,,1
2.6437817741589735,1,2.9028428454673674,1.0,1.0,1.0,2.391156284730538,1
2.5051311157169014,1,2.87184762083722,0.0,,,,1
2.5742938665113595,1,2.8612189110936255,0.0,,,,1
2.4722657707041713,1,2.5930720374215097,1.0,1.0,1.0,2.1331112426330865,1
2.7864480440030914,1,2.972559442189377,1.0,0.0,,,1
2.6713415110109295,0,,,,,,1
2.4363151638859075,0,,,,,,1
2.38980008631349,0,,,,,,1
2.5936938782203782,0,,,,,,1
2.638936538707868,0,,,,,,1
2.5400059219533486,0,,,,,,1
2.5092762460958156,1,2.691644409538113,1.0,0.0,,,1
2.692729072570055,0,,,,,,1
2.6297356752191847,1,2.8938765030554165,0.0,,,,1
2.937925155199911,1,2.9866259991259696,0.0,,,,1
2.8839745707258198,0,,,,,,1
2.8521912371040195,1,2.8898873586986995,1.0,1.0,1.0,2.7992924073058947,1
2.522304517225987,1,2.9124602372179265,1.0,0.0,,,1
2.7530506943084214,1,2.936561136694746,0.0,,,,1
2.55526672261946,0,,,,,,1
2.5834673850185537,0,,,,,,1
2.738174816799192,1,3.0253592842365578,1.0,1.0,0.0,,1
2.5924546668928024,0,,,,,,1
2.7836209057681094,0,,,,,,1
2.698949482776845,1,2.9562058647987417,0.0,,,,1
2.4466437438408146,1,2.5195505672549654,0.0,,,,1
2.7721972644795456,1,2.9277685984511206,1.0,1.0,1.0,2.2261302454261127,1
2.7158161853077325,0,,,,,,1
2.606148543379387,0,,,,,,1
2.801862384105132,1,2.8831473347922882,1.0,1.0,1.0,2.1608778575408585,1
2.7820860889557815,1,2.9873309862411905,0.0,,,,1
2.718944393074771,1,2.927071403658818,0.0,,,,1
2.4917219991727944,1,3.008764397624636,0.0,,,,1
2.572522541145887,1,2.8122003964035587,0.0,,,,1
2.6189712264412077,1,2.8704899394344485,1.0,1.0,0.0,,1
2.568003287484574,1,2.6980364245298145,0.0,,,,1
2.4248499449861867,0,,,,,,1
2.952248153210729,1,2.9966697659137025,1.0,1.0,1.0,2.612188401906485,1
2.7580905769281983,1,2.9980225809552388,1.0,0.0,,,1
2.7137454395243816,0,,,,,,1
2.631744314448145,1,2.9125222763978047,0.0,,,,1
2.5739270921150377,0,,,,,,1
2.757692216998745,0,,,,,,1
2.8601453746071206,1,3.170724153631131,1.0,0.0,,,1
2.7992173316816666,1,2.9632855359610373,0.0,,,,1
2.8970908894452987,1,3.0452638322770134,1.0,1.0,1.0,2.5327469158012748,1
2.550248999628093,0,,,,,,1
2.6859954732186586,1,2.8778330520007276,0.0,,,,1
2.6609751491663536,1,2.8409908086232303,1.0,0.0,,,1
2.7460358119569066,1,2.8653787721167525,0.0,,,,1
2.38909089831878,0,,,,,,1
2.517515257598556,1,2.7208733701002905,1.0,0.0,,,1
2.6941617977716246,1,2.9556518703823746,0.0,,,,1
2.5993425198685034,1,2.914407962035708,1.0,0.0,,,1
2.4558412285554736,0,,,,,,1
2.527863466969531,1,2.935576843868426,0.0,,,,1
2.6180416701735925,0,,,,,,1
2.634050872185793,0,,,,,,1
2.512764709413533,0,,,,,,1
2.713061387922421,0,,,,,,1
2.9598032542472374,1,2.946288154919182,1.0,0.0,,,1
2.509864632549443,1,2.7233626239017426,1.0,0.0,,,1
2.5906100228534514,1,2.8064401274460136,0.0,,,,1
2.6882825416592064,1,2.906679920887193,0.0,,,,1
2.6730693539329793,1,2.897759569394358,1.0,0.0,,,1
2.396577279656851,1,2.688727793761536,1.0,1.0,1.0,2.002208261318149,1
2.478711596113469,1,2.695861333740716,0.0,,,,1
2.7401887645508465,1,2.9616547783750278,0.0,,,,1
2.7233710177443626,0,,,,,,1
2.7615053682587103,1,3.0587162131337253,1.0,0.0,,,1
2.463603188212855,0,,,,,,1
2.5910531501113936,0,,,,,,1
2.563761357766221,0,,,,,,1
2.355033842348453,0,,,,,,1
2.4404633438506425,0,,,,,,1
2.8059336748960755,1,3.032385571289255,1.0,1.0,1.0,2.517867812722106,1
2.5858605012619535,1,2.7553195309312435,1.0,0.0,,,1
2.426733440422366,0,,,,,,1
2.611722651290813,1,2.903313706602644,0.0,,,,1
2.6269949975948688,0,,,,,,1
2.6920909756431275,1,2.8011296322394474,0.0,,,,1
2.722693030272364,1,2.8878936125709846,0.0,,,,1
2.5805920703463348,0,,,,,,1
2.7614087379900685,1,2.9309135515329494,0.0,,,,1
2.388407179431006,0,,,,,,1
2.796076117133879,1,2.985869894778847,0.0,,,,1
2.702747648355211,1,2.929461143357861,0.0,,,,1
2.8920246260531823,1,3.0106506576486836,1.0,1.0,1.0,2.568736160444535,1
2.686998944752563,1,2.8550465241216663,0.0,,,,1
2.735193105476711,1,2.958802764712468,1.0,0.0,,,1
2.68734726154748,1,2.8645811948869095,1.0,1.0,1.0,2.281274648424824,1
2.7093098233101838,1,2.9145732576994576,1.0,1.0,1.0,2.2449451377139544,1
2.671193169834889,1,2.816189276468925,1.0,0.0,,,1
2.5368583950678048,0,,,,,,1
2.5989263085448977,1,2.972943781426584,1.0,1.0,0.0,,1
2.8049914707150285,1,3.126543592329349,1.0,0.0,,,1
2.310128835591665,0,,,,,,1
2.6323365413203925,0,,,,,,1
2.6712107229725817,1,2.8420582570953035,0.0,,,,1
2.4182624291789336,1,2.798377005428245,1.0,0.0,,,1
2.5183678435208883,0,,,,,,1
2.3944903262745916,1,2.6743361158539827,0.0,,,,1
