z,Surv,z1,Repr,Sex,Recr,Rcsz,yr
2.536859924863931,1,2.9422635205237113,1.0,1.0,1.0,1.820577096644842,1
2.5717897857035985,1,2.837516333744914,1.0,1.0,1.0,2.3670764905595387,1
2.717171355781286,1,2.889357540888244,0.0,,,,1
2.5583146850961755,1,2.8710232865052006,1.0,1.0,1.0,1.818101920298905,1
2.4034817366875134,0,,,,,,1
2.6158078967701357,1,2.8837608560432466,1.0,1.0,1.0,2.0915059627745824,1
2.4827973518569273,0,,,,,,1
2.67826182043992,0,,,,,,1
2.546238572253022,0,,,,,,1
2.5964788135980816,0,,,,,,1
2.7091245870182097,0,,,,,,1
2.6067063164248983,0,,,,,,1
2.525755581780344,0,,,,,,1
2.4665460037272324,0,,,,,,1
2.9001606013943895,0,,,,,,1
2.8024752495221583,1,2.98006703994438,1.0,0.0,,,1
2.387503195221585,1,2.90340060384251,0.0,,,,1
2.4592364649740053,1,2.8339329486712423,1.0,1.0,1.0,1.9572807503609966,1
2.7193943090128894,1,2.934910679555269,1.0,1.0,1.0,2.19199470152362,1
2.5330131089327774,0,,,,,,1
2.6289603443416536,0,,,,,,1
2.7559589940967038,0,,,,,,1
2.6470242387161766,1,2.858951602540332,1.0,1.0,1.0,2.1610148348507723,1
2.606007249082833,0,,,,,,1
2.5512582306424645,1,2.8123499103195906,0.0,,,,1
2.6128104832738805,1,2.9065984082346934,1.0,1.0,1.0,2.2743823766791182,1
2.6880236896708936,0,,,,,,1
2.9023380510839663,1,3.0833520633904374,0.0,,,,1
2.79586092443668,1,2.91958907128171,0.0,,,,1
2.5948421764769516,0,,,,,,1
2.772262598381511,1,2.9149065665380562,0.0,,,,1
2.6451726773466064,1,2.8643661567024106,1.0,1.0,1.0,2.1686967413598177,1
2.3910435668877565,0,,,,,,1
2.6095945491404535,0,,,,,,1
2.7846822895782997,1,2.8898384804470765,1.0,0.0,,,1
2.531741621998467,1,2.9076332809785255,0.0,,,,1
2.775350848156823,0,,,,,,1
2.577794112887163,0,,,,,,1
2.6307610063508844,0,,,,,,1
2.437184079180046,0,,,,,,1
2.9556609092191994,1,2.9872343726006108,0.0,,,,1
2.698635887854462,0,,,,,,1
2.7868670575743613,1,2.9755896830869024,1.0,0.0,,,1
2.554579248691664,1,2.911846379915301,0.0,,,,1
2.393901731781903,0,,,,,,1
2.8191678503339292,1,2.905383718823786,0.0,,,,1
2.513379458778032,0,,,,,,1
2.889188390375953,1,2.954187373926978,1.0,1.0,1.0,1.9445940404924542,1
2.5993483624093137,1,2.8493326952442577,0.0,,,,1
2.8848130598469734,1,3.056917193330742,1.0,0.0,,,1
2.5106510667378714,1,2.8255531805534453,1.0,1.0,1.0,2.1211255431363103,1
2.3461156950254574,0,,,,,,1
2.737530182418054,0,,,,,,1
2.615731500096288,1,2.873356248441292,0.0,,,,1
2.626117183760456,1,2.9720422702080667,1.0,1.0,1.0,2.0123772053985753,1
2.7932703370765846,0,,,,,,1
2.4863075073078797,0,,,,,,1
2.4207329999684597,0,,,,,,1
2.440794910106625,1,2.728575387957838,1.0,0.0,,,1
2.3591235604257514,1,2.675277377947126,0.0,,,,1
2.339020021058777,0,,,,,,1
2.422226014335012,0,,,,,,1
2.471705330190258,1,2.840381520202427,0.0,,,,1
2.5535894832267054,0,,,,,,1
2.4334940264192335,1,2.7779941808830473,1.0,0.0,,,1
2.602756224956687,1,2.9356831651728594,0.0,,,,1
2.742801295118762,1,3.0235275871118197,1.0,0.0,,,1
2.586528899941019,1,2.7685047697428398,0.0,,,,1
2.6869033336103025,0,,,,,,1
2.4743543271365085,0,,,,,,1
2.664250378257063,1,2.7344970510769238,1.0,0.0,,,1
2.6907981973454,1,2.9539687832115904,0.0,,,,1
2.512371738453958,0,,,,,,1
2.3697631196640088,0,,,,,,1
2.581539297598795,0,,,,,,1
2.6078375954475805,1,2.8617853806924805,1.0,1.0,0.0,,1
2.833534410189545,0,,,,,,1
2.5402933018677443,1,2.8497104035054166,1.0,1.0,1.0,2.0749743874393345,1
2.8628039306753346,1,2.936028694790974,1.0,1.0,1.0,2.160639588980054,1
2.222627831687384,1,2.7144660212905,1.0,0.0,,,1
2.5523196641124515,0,,,,,,1
2.5221310829402723,1,2.80023247798781,0.0,,,,1
2.538371015770107,1,2.869526703414908,0.0,,,,1
2.5141436204832477,0,,,,,,1
2.589598241111835,1,2.925745277022042,0.0,,,,1
2.855373649001544,0,,,,,,1
2.57250035735183,0,,,,,,1
2.7836231695824933,1,2.970834914725553,1.0,0.0,,,1
2.581000401232551,0,,,,,,1
2.6129679434432105,1,2.861167331982947,1.0,1.0,1.0,2.1690915576148635,1
2.2221869999623403,0,,,,,,1
2.609334131233216,0,,,,,,1
2.6907799814300617,0,,,,,,1
2.416672098076693,0,,,,,,1
2.4993173289494246,0,,,,,,1
2.460926015989612,0,,,,,,1
2.927834982851213,1,2.988415238761265,0.0,,,,1
2.4406744897161587,0,,,,,,1
2.4813182329472347,0,,,,,,1
2.168322058122286,0,,,,,,1
2.3463111019064042,0,,,,,,1
2.6262992893370543,0,,,,,,1
2.3929892066449163,1,2.9551850155457715,1.0,1.0,1.0,1.9921803131556675,1
2.160057406189986,0,,,,,,1
2.5473894304326135,1,2.726076695220998,1.0,0.0,,,1
2.608816115821402,1,2.920512369483633,0.0,,,,1
2.634470460393926,1,2.763456865058958,0.0,,,,1
2.650267514764253,1,2.8248562426724444,1.0,0.0,,,1
2.4970145958792442,0,,,,,,1
3.031746190662804,1,3.208277637010248,0.0,,,,1
2.505056573395881,1,2.751777449089039,0.0,,,,1
2.661611016463174,1,2.977092435808478,0.0,,,,1
2.393022989474413,0,,,,,,1
2.4947808575671377,0,,,,,,1
2.3527391614905344,0,,,,,,1
2.626030513933976,0,,,,,,1
2.5296897577819277,0,,,,,,1
2.4351138913517576,1,2.7402027996632334,0.0,,,,1
2.2781312308541737,1,2.7512290763928626,1.0,1.0,0.0,,1
